Restaurant_name,Restaurant_location,Restaurant_cuisine,Restaurant_score,Number_of_reviews
What a Treat,Kreuzberg,International Restaurant,5.5,26.0
Varga Hennecke,Prenzlauer Berg,German Restaurant,5.2,27.0
Zsa Zsa Burger,Schöneberg,Burgers,5.5,29.0
Erdinger am Gendarmenmarkt,Mitte,European Restaurant,5.1,26.0
Marti Fischrestaurant,Tempelhof,Fish Restaurant,5.3,40.0
TROFEO,Moabit,International Restaurant,5.0,41.0
Osteria I Due,Westend,Italian Restaurant,5.2,86.0
Trattoria Pizzeria  LuNa,Schöneberg,Italian Restaurant,5.4,30.0
1000 Grad,Halensee,Asian Restaurant,5.5,39.0
Osteria Angelini,Steglitz,Italian Restaurant,5.3,170.0
Atlantik Fischrestaurant,Schöneberg,Fish Restaurant,4.8,45.0
Restaurant Paran,Kreuzberg,Korean Restaurant,5.4,25.0
Dieselhaus,Mitte,German Restaurant,4.8,27.0
Tutti Gusti,Westend,International Restaurant,5.2,191.0
Mundo - Tapas Bar - Mitte,Mitte,International Restaurant,4.8,27.0
Restaurant Scheune,Westend,German Restaurant,5.5,382.0
Taverna Dionysos,Kreuzberg,Greek Restaurant,5.2,25.0
Chelany Mitte,Mitte,Indian Restaurant,5.8,20.0
Mokka,Moabit,Mediterranean Restaurant,5.4,27.0
Mr. Hai Shabuki,Wilmersdorf,Sushi,5.0,31.0
Ristorante Capitano,Märkisches Viertel,Italian Restaurant,5.7,48.0
Restaurant Sigiriya,Friedrichshain,Sri Lankan Restaurant,5.4,24.0
Tossakan,Prenzlauer Berg,Thai Restaurant,5.2,24.0
Ho Vang,Mitte,Vietnamese Restaurant,5.5,20.0
Golden Fleece,Mitte,Georgian Restaurant,5.0,19.0
Gaststätte Eierschale,Dahlem,International Restaurant,5.2,69.0
Willis Restaurant,Pankow,Asian Fusion Restaurant,5.9,21.0
Kong Vegan 385,Prenzlauer Berg,Vegan Option,5.9,18.0
Papa Nô Prenzlauer Berg,Prenzlauer Berg,Asian Fusion Restaurant,5.3,21.0
Dong A,Charlottenburg,Asian Restaurant,5.4,25.0
Ki Kuriya Japanese Kitchen,Prenzlauer Berg,Japanese Restaurant,5.3,20.0
Tomasa Friedenau,Friedenau,International Restaurant,5.3,34.0
Porta Nova,Mitte,Italian Restaurant,5.0,21.0
platz doch!,Kreuzberg,International Restaurant,5.9,17.0
La Bigoudène,Prenzlauer Berg,French Restaurant,5.7,17.0
Zen Ku'damm II,Charlottenburg,Asian Restaurant,5.4,25.0
Marubi Ramen Japanische & Shanghai Spezialitäten,Prenzlauer Berg,Asian Restaurant,5.7,16.0
Kuchel-Eck,Wilmersdorf,German Restaurant,5.0,31.0
Shisomen Vegan Ramen & Cocktails,Mitte,Asian Restaurant,5.8,16.0
Barist,Mitte,Italian Restaurant,4.9,18.0
meet me halfway,Mitte,Middle Eastern Restaurant,5.5,17.0
Sarayam,Charlottenburg,Turkish Restaurant,5.8,28.0
Ristorante Cumberland,Charlottenburg,Italian Restaurant,5.1,30.0
Burger World Berlin,Prenzlauer Berg,Burgers,5.4,17.0
Madloba Lounge,Schöneberg,Georgian Restaurant,5.0,25.0
Koi 56,Prenzlauer Berg,Vietnamese Restaurant,5.4,16.0
Ristorante & Vinobar Cali Bocca,Charlottenburg,European Restaurant,5.2,28.0
Rocco und seine Brüder,Kreuzberg,Italian Restaurant,5.5,16.0
Mr. Hai Life,Steglitz,Asian Restaurant,5.5,37.0
Schöneberger Weltlaterne,Schöneberg,German Restaurant,5.5,22.0
Lagalante Ristorante,Schöneberg,Italian Restaurant,5.4,21.0
Frau Luna,Kreuzberg,Spanish Restaurant,5.7,15.0
Trattoria Nardini,Reinickendorf,Italian Restaurant,5.2,33.0
bRICK coffee & breakfast,Neukölln,European Restaurant,5.5,17.0
Ristorante Bocca Felice,Mitte,Italian Restaurant,5.8,12.0
Bellas Café,Mitte,International Restaurant,5.5,13.0
Sadhu - Prenzlauerberg,Prenzlauer Berg,Indian Restaurant,5.7,15.0
Mr. Le,Prenzlauer Berg,Vietnamese Restaurant,5.0,14.0
Mother's Heart Südstern,Kreuzberg,Vietnamese Restaurant,5.7,15.0
26 Shibuya,Prenzlauer Berg,Japanese Restaurant,0.0,12.0
Tomasa Lichterfelde,Lichterfelde,International Restaurant,5.3,314.0
Lorbeer Restaurant,Prenzlauer Berg,German Restaurant,5.3,15.0
Restaurant & Café Hackescher Hof,Mitte,International Restaurant,5.9,10.0
Kebapzade,Schöneberg,Kebab Restaurant,5.0,17.0
Murphy's Irish Pub,Mitte,Irish Restaurant,4.8,14.0
Anna Koschke,Mitte,German Restaurant,5.1,12.0
Oase Cocktailbar Georgenstraße,Mitte,International Restaurant,4.5,15.0
YUNA,Mitte,International Restaurant,5.0,10.0
Buddha Haus,Schöneberg,Thai Restaurant,5.5,19.0
Hoffgarten,Charlottenburg,German Restaurant,5.7,26.0
Izumi Sushi,Mitte,Japanese Restaurant,4.8,12.0
A-Petit,Prenzlauer Berg,International Restaurant,5.2,12.0
Mon Vegetarian Eatery & Bar,Kreuzberg,Asian Restaurant,5.5,10.0
Landhaus Tomasa restaurant,Reinickendorf,European Restaurant,5.3,216.0
Mr. Hai Noon,Charlottenburg,Asian Restaurant,5.4,21.0
Mr Chai-Wala,Charlottenburg,Indian Restaurant,4.9,26.0
LunchTime,Mitte,Italian Restaurant,5.4,7.0
Lê Lê,Mitte,Asian Restaurant,5.3,8.0
Oase Deluxe Cocktailbar Karl - Liebknecht-Straße,Mitte,Drinks,4.0,8.0
Karabach,Neukölln,Arabic Restaurant,5.1,19.0
Beef Grill Club  by Hasir - Mitte,Mitte,International Restaurant,5.3,9.0
Gotcha Restaurant,Friedrichshain,Asian Fusion Restaurant,5.2,13.0
Kiraku,Mitte,Japanese Restaurant,5.5,4.0
The Fiuty-The future is up to you,Mitte,Asian Fusion Restaurant,5.0,7.0
Hasir Ocakbasi,Kreuzberg,Turkish Restaurant,5.1,9.0
Mondial Terrassen,Mitte,International Restaurant,5.7,3.0
Flamingo Fresh Food Bar,Mitte,European Restaurant,5.5,6.0
Unser Cafe,Prenzlauer Berg,European Restaurant,5.0,14.0
Indian Village Indian Restaurant Berlin,Mitte,Indian Restaurant,5.3,3.0
Edelweiss Weihnachtszelt am Bebelplatz,Mitte,Italian Restaurant,0.0,3.0
BAVARIA Berlin,Mitte,German Restaurant,5.4,7.0
Restaurant Hasir (Kreuzberg),Kreuzberg,Turkish Restaurant,5.3,8.0
Cent Anni,Mitte,German Restaurant,0.0,1.0
Lalibela taste of Ethiopia,Kreuzberg,Ethiopian Restaurant,5.0,10.0
OLLA Grill & Orient Lounge,Mitte,Arabic Restaurant,4.7,3.0
Jabe Dine & Bar,Mitte,Japanese Restaurant,4.4,5.0
Cafe Camaleon,Mitte,International Restaurant,0.0,1.0
Kilkenny Irish Pub,Mitte,International Restaurant,5.0,1.0
Café Hardenberg,Charlottenburg,European Restaurant,5.3,20.0
Seven Coffee Stay Green,Mitte,International Restaurant,0.0,1.0
Joy Restaurant & Lounge,Mitte,Asian Restaurant,5.7,3.0
ama Café,Mitte,International Restaurant,0.0,4.0
Dump Ling,Mitte,Chinese Restaurant,5.0,1.0
Chaomin Congee Restaurant,Prenzlauer Berg,Asian Fusion Restaurant,5.2,6.0
Chay Long,Prenzlauer Berg,Asian Restaurant,5.4,9.0
Nhat-Nguyet Quan,Prenzlauer Berg,Vietnamese Restaurant,5.4,7.0
HOONGY,Mitte,Asian Restaurant,5.0,6.0
NamPan Restaurant,Mitte,Asian Restaurant,5.0,3.0
LAPHO,Mitte,Asian Restaurant,,
Restaurant Hasir (Wilmersdorf),Wilmersdorf,Turkish Restaurant,5.5,17.0
Haicoffee Sushi&AsianFood,Tiergarten,Asian Restaurant,3.0,1.0
Kan'Koa,Mitte,Asian Restaurant,,
Café Bar Pirouette,Prenzlauer Berg,International Restaurant,0.0,1.0
Seven Spices Indian Cuisine,Friedrichshain,Indian Restaurant,5.4,9.0
MS Marone,Prenzlauer Berg,German Restaurant,0.0,3.0
Simela Mitte,Mitte,Mediterranean Restaurant,,
Bricks Berlin,Mitte,International Restaurant,,
Viet Ha,Friedrichshain,Vietnamese Restaurant,0.0,2.0
Dirty Rose - EAT.DRINK.REPEAT.,Mitte,Spanish Restaurant,,
Bistro Ribelle,Mitte,International Restaurant,4.7,3.0
Miami Asia Cuisine & Sushi Bar,Mitte,Asian Restaurant,5.0,1.0
